sr,lat,long
1,23.737618,90.370107
2,23.737996,90.371818
3,23.738237,90.372708
4,23.738536,90.373657
5,23.738792,90.374552
6,23.738984,90.375001
7,23.739058,90.375162
8,23.739529,90.375468
9,23.739946,90.375237
10,23.740709,90.374831
11,23.74127,90.374472
12,23.74181,90.374214
13,23.742792,90.373635
14,23.743466,90.373202
15,23.74411,90.372773
16,23.743798,90.372068
17,23.743825,90.369464
18,23.743823,90.368458
19,23.742755,90.366527
20,23.742178,90.366527
21,23.741125,90.366709
22,23.740298,90.366956
